iter	Accuracy	Logloss
105	0.865375	0.3654370728
106	0.865125	0.3645393982
107	0.865	0.3638362122
108	0.864875	0.3634234619
109	0.86475	0.3628782959
110	0.86475	0.3622185364
111	0.864625	0.3615888367
112	0.865125	0.3606884766
113	0.865125	0.3602800293
114	0.865125	0.3593928223
115	0.86525	0.3588244934
116	0.8655	0.358111145
117	0.8655	0.3575773621
118	0.865625	0.357027771
119	0.86575	0.3562227478
120	0.865875	0.3554067688
121	0.866125	0.3545648499
122	0.86625	0.3540326843
123	0.866125	0.3533678894
124	0.866375	0.3528838501
125	0.8665	0.3522010193
126	0.8665	0.3517224121
127	0.866625	0.3512791748
128	0.8665	0.3508859558
129	0.8665	0.3503798828
130	0.866625	0.3498468628
131	0.8665	0.3491985168
132	0.8665	0.3488836365
133	0.8665	0.3485036621
134	0.866375	0.3481773682
135	0.8665	0.3475144653
136	0.86675	0.3470960693
137	0.8665	0.346774353
138	0.867125	0.3461476746
139	0.867125	0.3458177185
140	0.866875	0.3455569458
141	0.866625	0.3451688843
142	0.866875	0.3446442566
143	0.86725	0.3442395935
144	0.86725	0.3440083618
145	0.867375	0.3436111145
146	0.86775	0.3430839844
147	0.867625	0.342535614
148	0.867625	0.3421784668
149	0.86775	0.3418890381
150	0.86775	0.3415634766
151	0.867875	0.3410004883
152	0.867875	0.3407510681
153	0.867875	0.3402548828
154	0.868	0.3399436035
155	0.867875	0.3396426392
156	0.868125	0.3392736816
157	0.868	0.3391190796
158	0.868125	0.3388477783
159	0.868	0.3385747986
160	0.868	0.338193634
161	0.868	0.3379188538
162	0.868375	0.3377307129
163	0.868375	0.3375265198
164	0.8685	0.3372012329
165	0.86875	0.3367766113
166	0.868625	0.3366598206
167	0.869	0.33627771
168	0.86875	0.3361738281
169	0.86875	0.33595047
170	0.868875	0.3355016479
171	0.869	0.3353260193
172	0.869125	0.3351975098
173	0.869125	0.3350266724
174	0.869125	0.3348027954
175	0.868875	0.3345047607
176	0.86925	0.3341322632
177	0.869375	0.3337703857
178	0.8695	0.3335930176
